Player,Player-additional,Ht.,Wt.
Fernando Abad,abadfe01,6-2,235.0
Albert Abreu,abreual01,6-2,190.0
Bobby Abreu,abreubo01,6-0,220.0
Bryan Abreu,abreubr01,6-1,230.0
Eufemio Abreu,abreueu01,5-6,
José Abreu,abreujo02,6-3,250.0
Juan Abreu,abreuju01,6-0,185.0
Tony Abreu,abreuto01,5-10,200.0
Winston Abreu,abreuwi01,6-2,170.0
Wilyer Abreu,abreuwi02,5-10,215.0
Alfredo Aceves,aceveal01,6-2,205.0
Domingo Acevedo,acevedo01,6-7,240.0
José Acevedo,acevejo01,6-0,185.0
Juan Acevedo,aceveju01,6-2,245.0
Cy Acosta,acostcy01,5-10,165.0
Ed Acosta,acosted01,6-5,215.0
José Acosta,acostjo01,5-6,134.0
Manny Acosta,acostma01,6-4,215.0
Merito Acosta,acostme01,5-7,140.0
Ronald Acuña Jr.,acunaro01,6-0,205.0
Cristhian Adames,adamecr01,5-11,217.0
Willy Adames,adamewi01,6-1,219.0
Jim Adduci,adducji02,6-2,210.0
Bob Addy,addybo01,5-8,160.0
Joan Adon,adonjo01,6-2,247.0
Ehire Adrianza,adriaeh01,6-1,198.0
Juan Agosto,agostju01,6-2,190.0
Dario Agrazal,agrazda01,6-2,225.0
Luis Aguayo,aguaylu01,5-9,173.0
Jesús Aguilar,aguilje01,6-3,277.0
Miguel Aguilar,aguilmi01,5-8,194.0
Eddie Ainsmith,ainsmed01,5-11,180.0
Shogo Akiyama,akiyash01,6-0,182.0
Gibson Alba,albagi01,6-2,160.0
Jonathan Albaladejo,albaljo01,6-5,270.0
Andrew Albers,alberan01,6-1,200.0
Hanser Alberto,alberha01,5-11,215.0
José Alberro,alberjo01,6-2,190.0
Ozzie Albies,albieoz01,5-8,165.0
Al Alburquerque,albural01,6-0,195.0
Jorge Alcalá,alcaljo01,6-3,205.0
Santo Alcalá,alcalsa01,6-5,195.0
Arismendy Alcántara,alcanar01,5-10,170.0
Israel Alcántara,alcanis01,6-2,180.0
Raul Alcántara,alcanra01,6-4,220.0
Sandy Alcántara,alcansa01,6-5,200.0
Sergio Alcántara,alcanse01,5-10,151.0
Victor Alcántara,alcanvi01,6-2,190.0
Luis Alcaraz,alcarlu01,5-9,165.0
Bob Alexander,alexabo01,6-2,205.0
Manny Alexander,alexama02,5-10,150.0
Jorge Alfaro,alfarjo01,6-2,249.0
Antonio Alfonseca,alfonan01,6-5,250.0
Ángel Alfonso,alfonan02,5-6,
Edgardo Alfonzo,alfoned01,5-11,210.0
Eliézer Alfonzo,alfonel01,5-11,220.0
Luis Alicea,alicelu01,5-9,165.0
Mel Almada,almadme01,6-0,170.0
Carlos Almánzar,almanca01,6-2,166.0
Rafael Almeida,almeira01,5-9,164.0
Abraham Almonte,almonab01,5-10,223.0
Edwin Almonte,almoned01,6-3,200.0
Erick Almonte,almoner01,6-2,245.0
Héctor Almonte,almonhe01,6-2,190.0
Miguel Almonte,almonmi01,6-1,210.0
Zoilo Almonte,almonzo01,6-0,205.0
Luis Alomá,alomalu01,6-2,195.0
Roberto Alomar,alomaro01,6-0,184.0
Sandy Alomar,alomasa01,5-9,140.0
Sandy Alomar,alomasa02,6-5,200.0
Rogelio Alonso,alonsro01,5-6,
Yonder Alonso,alonsyo01,6-1,230.0
Felipe Alou,aloufe01,6-0,195.0
Jesús Alou,alouje01,6-2,190.0
Matty Alou,alouma01,5-9,160.0
Porfi Altamirano,altampo01,6-0,175.0
Aaron Altherr,altheaa01,6-5,215.0
Jose Altuve,altuvjo01,5-6,167.0
Clemente Álvarez,alvarcl01,5-11,180.0
Dario Álvarez,alvarda01,6-1,170.0
